trial,metric,hyperparameters
0,0.2625943164004425,"{'gamma': 0.99, 'learning_rate': 0.0014204994672768455, 'batch_size': 32, 'buffer_size': 10000, 'learning_starts': 0, 'train_freq': 32, 'gradient_steps': 32, 'ent_coef': 'auto', 'tau': 0.001, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -2.3372264999237027, 'net_arch': [400, 300]}}"
0,0.20731884708972914,"{'gamma': 0.99, 'learning_rate': 0.0014204994672768455, 'batch_size': 32, 'buffer_size': 10000, 'learning_starts': 0, 'train_freq': 32, 'gradient_steps': 32, 'ent_coef': 'auto', 'tau': 0.001, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -2.3372264999237027, 'net_arch': [400, 300]}}"
0,0.2717133226979356,"{'gamma': 0.99, 'learning_rate': 0.0014204994672768455, 'batch_size': 32, 'buffer_size': 10000, 'learning_starts': 0, 'train_freq': 32, 'gradient_steps': 32, 'ent_coef': 'auto', 'tau': 0.001, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -2.3372264999237027, 'net_arch': [400, 300]}}"
1,0.2109007367895792,"{'gamma': 0.9, 'learning_rate': 0.0008396624061001844, 'batch_size': 512, 'buffer_size': 100000, 'learning_starts': 20000, 'train_freq': 128, 'gradient_steps': 128, 'ent_coef': 'auto', 'tau': 0.08, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -1.493425188836615, 'net_arch': [64, 64]}}"
1,0.2698848291968732,"{'gamma': 0.9, 'learning_rate': 0.0008396624061001844, 'batch_size': 512, 'buffer_size': 100000, 'learning_starts': 20000, 'train_freq': 128, 'gradient_steps': 128, 'ent_coef': 'auto', 'tau': 0.08, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -1.493425188836615, 'net_arch': [64, 64]}}"
1,0.25409556410636003,"{'gamma': 0.9, 'learning_rate': 0.0008396624061001844, 'batch_size': 512, 'buffer_size': 100000, 'learning_starts': 20000, 'train_freq': 128, 'gradient_steps': 128, 'ent_coef': 'auto', 'tau': 0.08, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -1.493425188836615, 'net_arch': [64, 64]}}"
2,0.24868892210778237,"{'gamma': 0.9999, 'learning_rate': 0.01445675895182825, 'batch_size': 16, 'buffer_size': 1000000, 'learning_starts': 1000, 'train_freq': 512, 'gradient_steps': 512, 'ent_coef': 'auto', 'tau': 0.001, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -1.2976485028571414, 'net_arch': [64, 64]}}"
2,0.16245309507036265,"{'gamma': 0.9999, 'learning_rate': 0.01445675895182825, 'batch_size': 16, 'buffer_size': 1000000, 'learning_starts': 1000, 'train_freq': 512, 'gradient_steps': 512, 'ent_coef': 'auto', 'tau': 0.001, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -1.2976485028571414, 'net_arch': [64, 64]}}"
2,0.24923922418666833,"{'gamma': 0.9999, 'learning_rate': 0.01445675895182825, 'batch_size': 16, 'buffer_size': 1000000, 'learning_starts': 1000, 'train_freq': 512, 'gradient_steps': 512, 'ent_coef': 'auto', 'tau': 0.001, 'target_entropy': 'auto', 'policy_kwargs': {'log_std_init': -1.2976485028571414, 'net_arch': [64, 64]}}"
