trial,metric,hyperparameters
0,0.26156755576549573,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
0,0.23001264409286515,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
0,0.2521196793989471,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.31950517885627727,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.29061394936672236,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
