date,caixa,deprec_e_amort,divida_bruta,ebit,lucro_liquido,patrimonio_liquido,qtd_acoes,receita_liquida,close_price,dividends,EBITDA,divida_liquida,LPA,VPA,P/L,P/EBITDA,P/VPA,DL/PL,DL/EBITDA,DL/EBIT,ROE,MARGEM_EBITDA,MARGEM_EBIT,MARGEM_LIQUIDA
2012-01-31,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,44.70000076293945,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.412504303808507,7.447529657443708e-07,1.634934196895166,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-01,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.599998474121094,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.541614798167937,7.597479535100397e-07,1.6678522508106863,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-02,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.56999969482422,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.537311279195524,7.592481396516789e-07,1.6667550242044122,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-03,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.869998931884766,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.580348110648668,7.642464689069019e-07,1.677727708842919,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-06,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.849998474121094,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.577478915586058,7.639132384822596e-07,1.676996177930318,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-07,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.84000015258789,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.576044591676254,7.63746655048541e-07,1.676630482236645,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-08,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.52000045776367,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.530138565160501,7.584150953686758e-07,1.6649262666855371,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-09,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.099998474121094,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.469886563331697,7.514173835655998e-07,1.6495643965714235,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-10,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,44.33000183105469,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.359425563257729,7.385883617815025e-07,1.621401223825183,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
2012-02-13,7457928.0,6932479.0,46624424.0,53087424.0,37400224.0,146690367.0,5365304100.0,103195407.0,45.45000076293945,0.0,60019903.0,39166496.0,6.970755674408092,27.340550370667714,6.520096656062867,7.572488206610306e-07,1.6623659782540605,0.2670011453444656,0.6525584688132535,0.7377735261744853,0.2549603274221817,0.5816140925729378,0.5144359186451002,0.362421401177283
